t,output,input
1,0,0.1227
2,0,0.1227
3,0,0.1227
4,0,0.1227
5,0,0.1227
6,0,0.1227
7,0,0.1227
8,0,0.1227
9,0,0.1227
10,0,0.1227
11,0.0892,0.1227
12,0.4640,0.1227
13,0.3356,0.1227
14,0.1003,0.1227
15,0.2561,0.1227
16,0.2167,0.1227
17,0.1986,0.1227
18,0.1303,0.1227
19,0.1790,0.1227
20,0.3580,0.1227
21,0.1879,0.1227
22,0.2183,-0.4899
23,-0.8415,-0.4899
24,-1.4883,-0.4899
25,-1.1733,-0.4899
26,-0.8594,-0.4899
27,-0.7993,-0.4899
28,-1.1000,-0.4899
29,-1.2561,-0.4899
30,-0.9835,-0.4899
31,-0.7472,-0.4899
32,-0.8223,-0.4899
33,-1.2832,-0.4899
34,-1.3297,-0.4899
35,-0.9137,-0.4899
36,-0.7415,-0.4899
37,-0.9959,-0.4899
38,-1.0884,-0.4899
39,-1.1088,-0.4899
40,-1.1606,-0.4899
41,-1.0205,-0.8694
42,-1.8349,-0.8694
43,-2.2308,-0.8694
44,-2.2200,-0.8694
45,-1.8111,-0.8694
46,-1.2937,-0.8694
47,-1.8755,-0.8694
48,-2.0150,-0.8694
49,-1.5914,-0.8694
50,-2.0388,-0.8694
51,-2.3586,-0.8694
52,-1.7403,-0.8694
53,-1.4100,-0.8694
54,-1.6028,-0.8694
55,-2.0598,-0.8694
56,-1.9517,-0.8694
57,-1.4804,0.6852
58,1.2789,0.6852
59,2.3228,0.6852
60,1.3348,0.6852
61,0.9449,0.6852
62,1.5213,0.6852
63,1.8388,0.6852
64,1.5378,0.6852
65,1.3972,0.6852
66,1.4161,0.6852
67,1.2688,0.6852
68,1.3707,0.6852
69,1.6173,0.9756
70,2.0751,0.9756
71,2.1553,0.9756
72,1.8607,0.9756
73,1.7675,0.9756
74,2.2177,0.9756
75,2.1637,0.9756
76,2.0855,0.9756
77,2.2827,0.9756
78,2.2661,0.9756
79,1.8407,0.9756
80,1.7396,0.9756
81,2.1019,0.9756
82,2.2026,0.9756
83,2.4586,0.9756
84,2.3097,0.9756
85,1.9611,0.9756
86,1.8615,0.9756
87,1.7513,0.9756
88,2.2578,0.9756
89,2.6507,-0.2625
90,-0.4456,-0.2625
91,-1.5809,-0.2625
92,-0.6161,-0.2625
93,-0.4942,-0.2625
94,-0.5706,-0.2625
95,-0.3373,-0.2625
96,-0.4038,-0.2625
97,-0.3968,-0.2625
98,-0.3649,-0.2625
99,-0.7776,-0.2625
100,-0.8769,-0.2625
101,-0.4728,-0.2625
102,-0.5961,-0.2625
103,-0.7359,0.9964
104,1.9302,0.9964
105,3.1896,0.9964
106,2.3454,0.9964
107,1.7914,0.9964
108,1.8538,0.9964
109,1.9029,0.9964
110,2.0663,0.9964
111,2.2411,0.9964
112,2.4433,0.9964
113,2.1713,0.9964
114,2.0294,0.9964
115,2.1571,0.9964
116,2.1334,0.9964
117,2.0386,0.9735
118,1.8752,0.9735
119,2.0630,0.9735
120,2.2981,0.9735
121,2.2336,0.9735
122,2.1322,0.9735
123,2.1954,0.9735
124,2.0833,0.9735
125,1.9062,0.9735
126,2.0665,0.9735
127,2.1480,0.9735
128,2.0971,0.9735
129,1.8692,-0.5694
130,-1.2485,-0.5694
131,-2.1937,-0.5694
132,-1.2670,-0.5694
133,-1.2735,-0.5694
134,-1.3573,-0.5694
135,-1.0985,-0.5694
136,-1.0408,-0.5694
137,-1.4330,-0.5694
138,-1.4981,-0.5694
139,-1.1472,-0.5694
140,-1.3161,-0.5694
141,-1.3016,-0.4469
142,-0.6164,-0.4469
143,-0.6866,-0.4469
144,-0.9833,-0.4469
145,-0.7085,-0.4469
146,-0.9077,-0.4469
147,-0.8459,-0.4469
148,-0.8693,-0.4469
149,-1.1656,-0.4469
150,-1.1135,-0.4469
151,-1.1379,-0.4469
152,-0.9585,-0.4469
153,-0.8138,-0.4469
154,-0.6636,-0.4469
155,-0.9356,-0.4469
156,-0.9409,-0.4469
157,-0.8594,-0.4469
158,-1.1837,-0.4469
159,-0.9227,-0.1980
160,-0.0679,-0.1980
161,-0.1087,-0.1980
162,-0.7766,-0.1980
163,-0.6255,-0.1980
164,-0.0071,-0.1980
165,-0.1816,-0.1980
166,-0.4056,-0.1980
167,-0.3499,-0.1980
168,-0.6633,-0.1980
169,-0.4695,-0.1980
170,-0.2255,-0.1980
171,-0.7052,-0.1980
172,-0.4348,-0.1980
173,-0.0619,-0.7758
174,-1.5778,-0.7758
175,-2.0567,-0.7758
176,-1.3479,-0.7758
177,-1.2042,-0.7758
178,-1.6990,-0.7758
179,-1.9277,-0.7758
180,-1.8764,-0.7758
181,-1.5812,-0.7758
182,-1.3237,-0.7758
183,-1.4783,-0.7758
184,-1.7764,-0.7758
185,-1.9070,-0.7758
186,-1.6814,-0.7758
187,-1.4881,-0.7758
188,-1.4965,-0.7758
189,-1.3676,-0.7758
190,-1.3749,-0.8523
191,-2.0241,-0.8523
192,-2.2740,-0.8523
193,-1.7681,-0.8523
194,-1.4806,-0.8523
195,-1.9698,-0.8523
196,-2.2962,-0.8523
197,-2.0556,-0.8523
198,-2.0339,-0.8523
199,-1.9111,-0.8523
200,-1.6989,-0.8523
201,-1.8923,-0.8523
202,-2.1653,-0.6250
203,-1.4197,-0.6250
204,-0.9749,-0.6250
205,-1.5418,-0.6250
206,-1.7800,-0.6250
207,-1.6322,-0.6250
208,-1.2015,-0.6250
209,-0.9115,-0.6250
210,-1.3187,-0.6250
211,-1.4185,-0.6250
212,-1.2678,-0.6250
213,-1.3323,-0.6250
214,-1.3552,-0.9432
215,-1.8236,-0.9432
216,-2.1772,-0.9432
217,-2.2218,-0.9432
218,-1.9519,-0.9432
219,-1.9762,-0.9432
220,-2.0966,-0.9432
221,-1.8747,-0.9432
222,-1.9097,-0.9432
223,-2.0473,-0.9432
224,-1.8456,-0.9432
225,-1.7371,-0.9432
226,-2.3342,-0.9432
227,-2.3859,-0.9432
228,-1.8188,-0.9432
229,-2.0412,-0.9432
230,-2.2653,-0.9432
231,-2.2254,-0.0093
232,-0.4271,-0.0093
233,0.4858,-0.0093
234,-0.1490,-0.0093
235,-0.0923,-0.0093
236,0.1437,-0.0093
237,-0.3424,-0.0093
238,-0.0529,-0.0093
239,-0.0731,-0.0093
240,-0.3743,-0.0093
241,-0.0306,-0.0093
242,0.2768,-0.0093
243,0.2044,-0.0093
244,-0.0640,-0.0093
245,-0.0092,-0.0093
246,0.1527,-0.0093
247,0.1323,-0.1650
248,-0.2081,-0.1650
249,-0.3543,-0.1650
250,-0.4677,-0.1650
251,-0.6514,-0.1650
252,-0.8852,-0.1650
253,-0.5662,-0.1650
254,0.0235,-0.1650
255,-0.3238,-0.1650
256,-0.6457,-0.1650
257,-0.2011,-0.1650
258,-0.1564,-0.1650
259,-0.8081,-0.1650
260,-0.8711,-0.1650
261,-0.2417,-0.9495
262,-1.9502,-0.9495
263,-2.7105,-0.9495
264,-1.9870,-0.9495
265,-1.8072,-0.9495
266,-2.2113,-0.9495
267,-2.2944,-0.9495
268,-1.9349,-0.9495
269,-2.0190,-0.9495
270,-2.0626,-0.9495
271,-1.9851,-0.9495
272,-2.1638,-0.9495
273,-2.3305,0.0384
274,-0.2166,0.0384
275,0.6792,0.0384
276,0.3005,0.0384
277,0.2131,0.0384
278,0.1758,0.0384
279,0.0869,0.0384
280,0.0536,0.0384
281,-0.0041,0.0384
282,0.1273,0.0384
283,0.4802,0.0384
284,0.2827,0.0384
285,0.0242,0.0384
286,-0.1129,0.0384
287,0.0708,0.0384
288,0.1444,0.0384
289,-0.0285,0.0384
290,0.1421,0.0384
291,0.1948,-0.1723
292,-0.2394,-0.1723
293,-0.4920,-0.1723
294,-0.3885,-0.1723
295,-0.0913,-0.1723
296,-0.4095,-0.1723
297,-0.6214,-0.1723
298,-0.3025,-0.1723
299,-0.5149,-0.1723
300,-0.6459,-0.1723
301,0.4783,-0.1723
302,-0.6842,-0.1723
303,-0.2851,-0.1723
304,-0.0374,-0.5104
305,-0.5065,-0.5104
306,-0.8810,-0.5104
307,-0.5613,-0.5104
308,-1.0149,-0.5104
309,-0.6158,-0.5104
310,-0.5255,-0.5104
311,-0.8911,-0.5104
312,-0.8716,-0.5104
313,-0.8825,-0.5104
314,-0.8100,-0.5104
315,-0.8972,-0.5104
316,-0.6854,0.6756
317,-0.1050,0.6756
318,2.5637,0.6756
319,0.1526,0.6756
320,1.2020,0.6756
321,0.7716,0.6756
322,1.3406,0.6756
323,0.9403,0.6756
324,1.2573,0.6756
325,1.0978,0.6756
326,0.9667,0.6756
327,1.2598,0.6756
328,0.9599,0.6756
329,1.3692,0.6756
330,1.0062,0.6756
331,0.7499,0.6756
332,1.0881,0.6756
333,1.0387,0.6756
334,1.1807,0.6756
335,0.9417,-0.4239
336,0.4627,-0.4239
337,-2.2294,-0.4239
338,0.2130,-0.4239
339,-0.8953,-0.4239
340,-0.4965,-0.4239
341,-0.9416,-0.4239
342,-0.6397,-0.4239
343,-0.4906,-0.4239
344,-0.9229,-0.4239
345,-0.4494,-0.4239
346,-0.5960,-0.4239
347,-0.9419,-0.4239
348,-0.7929,-0.4239
349,-0.6761,-0.4239
350,-1.1088,-0.4239
351,-0.8049,0.4674
352,-0.1214,0.4674
353,2.0690,0.4674
354,0.2465,0.4674
355,0.7012,0.4674
356,0.5959,0.4674
357,0.6426,0.4674
358,0.7495,0.4674
359,0.7311,0.4674
360,0.4287,0.4674
361,1.0700,0.4674
362,0.6141,0.4674
363,0.5041,0.4674
364,0.9283,0.4674
365,0.8484,0.4674
366,0.7907,0.4674
367,0.6071,0.4674
368,0.8219,0.4674
369,0.5845,0.4674
370,0.8389,0.9797
371,0.8730,0.9797
372,2.2370,0.9797
373,1.0819,0.9797
374,1.8391,0.9797
375,1.8116,0.9797
376,1.2798,0.9797
377,1.6535,0.9797
378,1.2814,0.9797
379,1.5578,0.9797
380,1.6750,0.9797
381,1.1273,0.5558
382,1.4729,0.5558
383,0.3316,0.5558
384,1.0446,0.5558
385,0.5607,0.5558
386,1.1071,0.5558
387,1.1027,0.5558
388,0.7083,0.5558
389,1.0065,0.5558
390,1.1178,0.5558
391,0.8697,0.5558
392,0.8720,-0.1697
393,0.3126,-0.1697
394,-1.3482,-0.1697
395,0.6579,-0.1697
396,-0.6828,-0.1697
397,-0.1281,-0.1697
398,-0.2302,-0.1697
399,-0.3070,-0.1697
400,-0.1282,-0.1697
401,-0.4136,-0.1697
402,-0.2366,-0.1697
403,-0.2740,-0.1697
404,-0.2700,-0.1697
405,0.0994,-0.1697
406,-0.4831,-0.1697
407,-0.3001,-0.1697
408,-0.1606,-0.1697
409,-0.3494,-0.1697
410,-0.0430,-0.1697
411,-0.3860,-0.1697
412,-0.0706,-0.1697
413,-0.2582,0.2080
414,-0.2348,0.2080
415,1.0625,0.2080
416,-0.0513,0.2080
417,0.9059,0.2080
418,0.4373,0.2080
419,0.3194,0.2080
420,0.2328,0.2080
421,0.1574,0.2080
422,0.3242,0.2080
423,0.6907,0.2080
424,0.0747,0.2080
425,0.0423,0.2080
426,0.8817,0.2080
427,-0.1483,-0.6355
428,-0.1676,-0.6355
429,-1.9361,-0.6355
430,-0.2595,-0.6355
431,-1.2292,-0.6355
432,-0.7635,-0.6355
