t,output,input
1,0,0.9161
2,0,0.9161
3,2.6756,0.9161
4,2.4137,0.9161
5,1.7216,0.9161
6,1.9621,0.9161
7,1.8428,0.9161
8,1.9625,0.9161
9,1.9756,0.9161
10,1.8326,0.9161
11,1.8494,0.5907
12,1.3546,0.5907
13,1.0526,0.5907
14,1.2221,0.5907
15,1.3800,0.5907
16,1.2950,0.5907
17,1.2069,0.5907
18,1.1978,0.5907
19,1.2064,0.5907
20,1.2762,0.3190
21,0.6997,0.3190
22,0.4624,0.3190
23,0.6717,0.3190
24,0.6562,0.3190
25,0.6091,0.3190
26,0.6101,0.3190
27,0.7202,0.3190
28,0.8172,0.4156
29,1.0195,0.4156
30,0.9569,0.4156
31,0.6619,0.4156
32,0.7709,0.4156
33,1.0038,0.4156
34,0.8482,0.3339
35,0.7667,0.3339
36,0.6943,0.3339
37,0.7837,0.3339
38,0.7349,0.3339
39,0.8294,0.3339
40,0.5942,0.3339
41,0.8197,0.3339
42,0.7073,0.3339
43,0.8279,0.3339
44,0.5765,0.3339
45,0.7642,0.1370
46,0.2672,0.1370
47,0.0334,0.1370
48,0.2680,0.1370
49,0.3084,0.1370
50,0.2618,0.1370
51,0.3647,0.1370
52,0.2773,0.5457
53,1.1723,0.5457
54,1.5450,0.5457
55,1.0771,0.5457
56,1.1626,0.5457
57,1.0637,0.5457
58,1.0600,0.5457
59,0.9577,0.5457
60,1.1990,0.5457
61,1.3608,0.2115
62,0.5404,0.2115
63,0.1694,0.2115
64,0.4135,0.2115
65,0.6161,0.2115
66,0.3880,0.2115
67,0.3531,0.2115
68,0.6524,0.2115
69,0.3575,0.2115
70,0.5235,0.2115
71,0.4174,0.2115
72,0.2764,0.3840
73,0.9664,0.3840
74,1.1112,0.3840
75,0.4724,0.3840
76,0.9273,0.3840
77,0.7915,0.3840
78,0.7160,0.3840
79,0.7616,0.3840
80,0.9018,0.3840
81,0.7879,0.3840
82,0.6927,0.2165
83,0.5344,0.2165
84,0.4122,0.2165
85,0.3581,0.2165
86,0.5078,0.2165
87,0.5950,0.2165
88,0.5854,0.2165
89,0.3016,0.2165
90,0.5042,0.2165
91,0.4996,0.2165
92,0.4153,0.4471
93,0.9955,0.4471
94,1.1247,0.4471
95,0.8573,0.4471
96,0.8280,0.4471
97,0.8873,0.4471
98,0.9182,0.4471
99,0.9410,0.4471
100,1.1520,0.4471
101,0.9292,0.4471
102,0.8878,0.4471
103,0.9945,0.3593
104,0.6494,0.3593
105,0.6382,0.3593
106,0.7830,0.3593
107,1.0144,0.3593
108,0.5894,0.3593
109,0.8188,0.3593
110,0.8196,0.3593
111,0.6634,0.3593
112,0.6911,0.3593
113,0.8464,0.3593
114,0.5798,0.5886
115,1.0278,0.5886
116,1.3775,0.5886
117,1.0801,0.5886
118,1.0107,0.5886
119,1.4038,0.5886
120,1.3958,0.5886
121,1.2223,0.5886
122,1.1562,0.5886
123,1.1686,0.5886
124,1.1397,0.1648
125,0.3900,0.1648
126,0.1381,0.1648
127,0.3053,0.1648
128,0.5224,0.1648
129,0.3418,0.1648
130,0.2572,0.1648
131,0.3202,0.1648
132,0.4151,0.1648
133,0.5134,0.1648
134,0.3713,0.5643
135,1.1812,0.5643
136,1.2485,0.5643
137,1.3695,0.5643
138,1.2213,0.5643
139,1.2368,0.5643
140,1.0272,0.8745
141,1.9536,0.8745
142,1.9854,0.8745
143,1.9920,0.8745
144,1.7690,0.8745
145,1.9136,0.8745
146,1.7896,0.8745
147,1.8927,0.8745
148,1.8106,0.8745
149,1.7434,0.5017
150,1.2855,0.5017
151,0.9552,0.5017
152,0.9820,0.5017
153,1.0414,0.5017
154,1.0643,0.5017
155,1.0658,0.5017
