t,output,input
1,0.1128,0.9441
2,0.0309,0.9441
3,0.0334,0.9441
4,-0.1107,0.9441
5,-0.0315,0.9441
6,-0.1369,0.9441
7,-0.1110,0.9441
8,-0.2004,0.9441
9,-0.3470,0.9441
10,-0.2434,0.9441
11,-0.2434,0.9441
12,-0.3365,0.1370
13,-0.5086,0.1370
14,-0.5462,0.1370
15,-0.4137,0.1370
16,-0.4781,0.1370
17,-0.6309,0.1370
18,-0.6074,0.1339
19,-0.6659,0.1339
20,-0.7223,0.1339
21,-0.5147,0.1339
22,-0.6037,0.1339
23,-0.5207,0.1339
24,-0.5246,0.1339
25,-0.4440,0.1339
26,-0.2890,0.7162
27,-0.3068,0.7162
28,-0.2154,0.7162
29,0.0791,0.7162
30,0.0141,0.7162
31,-0.2216,0.7162
32,-0.0736,0.7162
33,0.1312,0.7162
34,0.0155,0.7162
35,0.0802,0.1083
36,0.2436,0.1083
37,0.2973,0.1083
38,0.3369,0.1083
39,0.3721,0.1083
40,0.4846,0.1083
41,0.5144,0.1083
42,0.5539,0.1083
43,0.5660,0.1083
44,0.4920,0.0985
45,0.4538,0.0985
46,0.4443,0.0985
47,0.3893,0.0985
48,0.2351,0.0985
49,0.2821,0.0985
50,0.1415,0.0985
51,0.1185,0.0985
52,0.1627,0.9991
53,0.3128,0.9991
54,0.2681,0.9991
55,0.2366,0.9991
56,0.3601,0.9991
57,0.4307,0.9991
58,0.3780,0.9991
59,0.5045,0.9991
60,0.3797,0.9991
61,0.2508,0.9991
62,0.2400,0.3051
63,0.2159,0.3051
64,0.1819,0.3051
65,0.0446,0.3051
66,-0.0005,0.3051
67,-0.0805,0.3051
68,-0.0552,0.3051
69,-0.0116,0.3051
70,-0.0354,0.3051
71,-0.0803,0.9367
72,0.0418,0.9367
73,0.2009,0.9367
74,-0.0496,0.9367
75,-0.0421,0.9367
76,0.0183,0.9367
77,0.0156,0.9367
78,-0.0321,0.9367
79,0.1159,0.9367
80,0.1901,0.9367
81,0.0280,0.9367
82,0.0283,0.7297
83,0.1752,0.7297
84,0.0704,0.7297
85,0.1355,0.7297
86,0.1767,0.7297
87,0.2685,0.7297
88,0.1971,0.0787
89,-0.0218,0.0787
90,0.1227,0.0787
91,0.0399,0.0787
92,-0.0063,0.0787
93,0.1374,0.0787
94,-0.0065,0.0787
95,-0.0823,0.0787
96,0.0203,0.0787
97,0.0307,0.0787
98,-0.0657,0.6877
99,0.1264,0.6877
100,0.3194,0.6877
101,0.4695,0.6877
102,0.5371,0.6877
103,0.5637,0.6877
104,0.5136,0.6877
105,0.7372,0.6877
106,0.6982,0.9442
107,0.7712,0.9442
