t,output,input
1,0.0856,-0.6147
2,0.0230,-0.6147
3,-0.1020,-0.6147
4,-0.0284,-0.6147
5,-0.1313,-0.6147
6,-0.2139,-0.6147
7,-0.2845,-0.6147
8,-0.4163,-0.6147
9,-0.2514,0.3035
10,-0.3081,0.3035
11,-0.1421,0.3035
12,-0.1691,0.3035
13,-0.1987,0.3035
14,-0.1634,0.3035
15,-0.0905,-0.8594
16,-0.2149,-0.8594
17,-0.2233,-0.8594
18,-0.2669,-0.8594
19,-0.3616,-0.8594
20,-0.2693,-0.8594
21,-0.3316,-0.8594
22,-0.5950,0.6978
23,-0.3352,0.6978
24,-0.0692,0.6978
25,-0.1887,0.6978
26,-0.2329,0.6978
27,0.0486,0.6978
28,-0.1378,0.6978
29,-0.0015,0.6978
30,0.2187,0.6978
31,0.3489,-0.3153
32,0.2588,-0.3153
33,0.1137,-0.3153
34,0.2460,-0.3153
35,0.1337,-0.3153
36,0.0380,-0.3153
37,0.0172,-0.8176
38,0.0412,-0.8176
39,0.1108,-0.8176
40,-0.2541,-0.8176
41,-0.3232,-0.8176
42,-0.2836,-0.8176
43,-0.3641,-0.8176
44,-0.4050,-0.5860
45,-0.4362,-0.5860
46,-0.4532,-0.5860
47,-0.5490,-0.5860
48,-0.3723,-0.5860
49,-0.5778,-0.5860
50,-0.5726,-0.5860
51,-0.3808,0.7837
52,-0.1556,0.7837
53,-0.0848,0.7837
54,-0.0632,0.7837
55,0.1768,0.7837
56,0.1940,0.7837
57,0.0888,0.7837
58,0.1963,0.7837
59,0.1998,0.7837
60,0.2547,0.7304
61,0.4375,0.7304
62,0.3282,0.7304
63,0.3293,0.7304
64,0.5053,0.7304
65,0.3457,0.7304
66,0.3631,0.7304
67,0.5582,0.7304
68,0.4910,0.7304
69,0.7038,0.7304
70,0.4191,-0.9609
71,0.2830,-0.9609
72,0.2610,-0.9609
73,0.0154,-0.9609
74,-0.1271,-0.9609
75,-0.0555,-0.9609
76,-0.3589,-0.9609
77,-0.3054,-0.9609
78,-0.3165,-0.9609
79,-0.4903,-0.9609
80,-0.4479,-0.9609
81,-0.4685,-0.8875
82,-0.5163,-0.8875
83,-0.5269,-0.8875
84,-0.5937,-0.8875
85,-0.7008,-0.8875
86,-0.6495,-0.8875
87,-0.8482,-0.8875
88,-0.6601,-0.5238
89,-0.4445,-0.5238
90,-0.5038,-0.5238
91,-0.5809,-0.5238
92,-0.4853,-0.5238
93,-0.4934,-0.5238
94,-0.4315,-0.5238
95,-0.3562,-0.5238
96,-0.4469,-0.5238
97,-0.3211,-0.5238
98,-0.2343,-0.8898
99,-0.3572,-0.8898
100,-0.5091,-0.8898
